,society_name,property_title,property_rent,types_of_rooms_available,furnishing_details_lst,bedroom_count,bathroom_count,balcony_count,superBuiltUp_area_sqft,carpet_area_sqft,address_lst,available_for,furnishing_type,available_from,Posted_By_and_On,Flooring,Floor_Number,Power_Backup,Property_Age,Months_of_Notice,Gated_Community,Electricity_n_Water_Charges,property_features,avg_rating
0,Jiyo Samarth Park,3 Bedroom House for rent,"₹18,000 /month",None,None,3 Bedrooms,4 Bathrooms,1 Balcony,None,2000,"Jiyo Samarth Park
Mhow, Indore",Family Only,None,None,"Owner on Jul 01, 2024",None,None,None,5 to 10 Year Old,0 Months,None,Charges not included,"Feng Shui / Vaastu Compliant
Private Garden / Terrace
Water Storage
Park",4.1
1,Emerald Pratham,2 BHK Flat for rent,"₹12,000 /month",None,None,2 Bedrooms,2 Bathrooms,2 Balconies,1027,None,"Emerald Pratham
Devguradia, Indore",Family Only,None,None,"Owner on Jul 01, 2024",Marble,6th   of 6 Floors,Full,1 to 5 Year Old,1 Months,Yes,Charges not included,"Power Back-up
Lift(s)
Park",None
2,Vastu Silicon City,1 Bedroom House for rent,"₹10,000 /month",None,None,1 Bedroom,1 Bathroom,3+ Balconies,None,None,"Vastu Silicon City
Rau Road , Indore",Family Only,None,None,"Owner on Jul 01, 2024",Vitrified,None,None,5 to 10 Year Old,1 Months,Yes,Charges not included,None,4.1
3,ida scheme 94,3 Bedroom House for rent,"₹28,000 /month",None,None,3 Bedrooms,2 Bathrooms,No Balcony,None,None,"ida scheme 94
Bengali Square , Indore",All,None,None,"Owner on Jul 01, 2024",Vitrified,None,None,5 to 10 Year Old,1 Months,None,Charges not included,None,4.2
4,Signature Heights,2 BHK Flat for rent,"₹18,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,850,"Signature Heights
Pipliyahana, Indore",Family Only,None,None,"Owner on Jul 01, 2024",Ceramic,9th   of 10 Floors,Partial,Under Construction,1 Months,Yes,Charges included,None,4.0
5,Silver Springs Phase 2,3 BHK Flat for rent,"₹20,000 /month",None,None,3 Bedrooms,2 Bathrooms,1 Balcony,1211,None,"Silver Springs Phase 2
Mundla Nayta, Indore",Family Only,None,None,"Owner on Jul 01, 2024",Vitrified,4th   of 6 Floors,Full,5 to 10 Year Old,1 Months,Yes,Charges included,"Power Back-up
Feng Shui / Vaastu Compliant
Security / Fire Alarm
Lift(s)
Swimming Pool
Maintenance Staff
Water Storage
Park
Visitor Parking
Fitness Centre / GYM
Club house / Community Center
Rain Water Harvesting",None
6,"Bangali Square, Indore",2 Bedroom House for rent,"₹9,000 /month",None,None,2 Bedrooms,1 Bathroom,No Balcony,None,None,"Bangali Square, Indore",Bachelors (Women Only),None,None,"Owner on Jun 30, 2024",Mosaic,None,None,5 to 10 Year Old,1 Months,None,Charges not included,"Water Storage
Waste Disposal
Rain Water Harvesting",4.2
7,M Chugh Grande Exotica,3 BHK Flat for rent,"₹42,000 /month",None,None,3 Bedrooms,2 Bathrooms,No Balcony,1655,None,"M Chugh Grande Exotica
Bicholi Mardana, Indore",All,None,None,"Owner on Jun 30, 2024",None,10th   of 10 Floors,None,1 to 5 Year Old,0 Months,Yes,Charges included,"Private Garden / Terrace
Swimming Pool
Visitor Parking
Security Personnel
Fitness Centre / GYM
Club house / Community Center",4.0
8,scheme no 78 part 2 pink city dewas naka,1 BHK Flat for rent,"₹9,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,None,700,"scheme no 78 part 2 pink city dewas naka
Dewas Naka Panchvati, Indore","Family , Bachelors (Men Only)",None,None,"Owner on Jun 30, 2024",Ceramic,Ground of 1 Floors,None,5 to 10 Year Old,1 Months,None,Charges not included,None,3.9
9,Gulmohar Complex,1 BHK Flat for rent,"₹10,000 /month",None,None,1 Bedroom,1 Bathroom,2 Balconies,None,700,"Gulmohar Complex
Scheme No 136 Indore, Indore",All,None,None,"Owner on Jun 30, 2024",None,4th   of 6 Floors,None,1 to 5 Year Old,1 Months,Yes,Charges not included,None,None
